	Disease_index	Cultivar	Treatment
A57sr11	4	A57	Sterile soil
A57sr12	4	A57	Sterile soil
A57sr13	4	A57	Sterile soil
A57sr14	4	A57	Sterile soil
A57sr15	3	A57	Sterile soil
A57nr11	4	A57	Natural soil
A57nr12	4	A57	Natural soil
A57nr13	2	A57	Natural soil
A57nr14	1	A57	Natural soil
A57nr15	0	A57	Natural soil
A57sr21	4	A57	Sterile soil
A57sr22	4	A57	Sterile soil
A57sr23	1	A57	Sterile soil
A57sr24	2	A57	Sterile soil
A57sr25	3	A57	Sterile soil
A57nr21	3	A57	Natural soil
A57nr22	4	A57	Natural soil
A57nr23	4	A57	Natural soil
A57nr24	2	A57	Natural soil
A57nr25	1	A57	Natural soil
A57sr31	4	A57	Sterile soil
A57sr32	4	A57	Sterile soil
A57sr33	4	A57	Sterile soil
A57sr34	3	A57	Sterile soil
A57sr35	2	A57	Sterile soil
A57nr31	2	A57	Natural soil
A57nr32	1	A57	Natural soil
A57nr33	1	A57	Natural soil
A57nr34	1	A57	Natural soil
A57nr35	0	A57	Natural soil
HG70sr11	4	HG70	Sterile soil
HG70sr12	4	HG70	Sterile soil
HG70sr13	4	HG70	Sterile soil
HG70sr14	4	HG70	Sterile soil
HG70sr15	4	HG70	Sterile soil
HG70nr11	4	HG70	Natural soil
HG70nr12	4	HG70	Natural soil
HG70nr13	4	HG70	Natural soil
HG70nr14	4	HG70	Natural soil
HG70nr15	0	HG70	Natural soil
HG70sr21	4	HG70	Sterile soil
HG70sr22	4	HG70	Sterile soil
HG70sr23	4	HG70	Sterile soil
HG70sr24	4	HG70	Sterile soil
HG70sr25	4	HG70	Sterile soil
HG70sr26	0	HG70	Sterile soil
HG70nr21	4	HG70	Natural soil
HG70nr22	4	HG70	Natural soil
HG70nr23	2	HG70	Natural soil
HG70nr24	2	HG70	Natural soil
HG70nr25	1	HG70	Natural soil
HG70sr31	4	HG70	Sterile soil
HG70sr32	4	HG70	Sterile soil
HG70sr33	4	HG70	Sterile soil
HG70sr34	4	HG70	Sterile soil
HG70sr35	4	HG70	Sterile soil
HG70nr31	4	HG70	Natural soil
HG70nr32	4	HG70	Natural soil
HG70nr33	2	HG70	Natural soil
HG70nr34	1	HG70	Natural soil
HG70nr35	1	HG70	Natural soil
