id	CK_1	CK_2	CK_3	Cra20_1	Cra20_2	Cra20_3	KT2440_1	KT2440_2	KT2440_3
2-CP1	43.77792741	18.30635131	27.27908084	41.14263501	25.20703165	34.40461462	33.73987385	40.65686465	35.98863508
2-CP2	21.49052635	17.74731865	20.62167105	22.80457426	16.44756133	26.18319814	21.84100854	23.12664802	22.79897311
20ox-1	1.006150038	0	0.333046003	2.04927567	1.065042889	0.640762454	1.289933059	1.313122926	0.532572119
20ox-2	0.04613516	0.226214973	0.174528137	0.085423425	0.133187954	0.167891337	0.219064846	0.040140558	0.088800419
20ox-3	1.822204893	1.304002912	1.443878374	1.504611509	1.563943603	1.030527506	1.777254972	1.242638655	1.279711987
2A11	0	0	0.35136527	0.11465133	0.119172433	0.112667955	0.117607441	0	0
3OH-1	0.915636461	0.581013408	0.764080031	4.886694484	1.29576376	0.931030751	3.222443883	1.546462786	1.710570926
3OH-2	0	0	0	0	0	0	0.053484546	0	0
4CL	160.0088645	105.3109569	150.1285522	158.1856706	148.5034632	172.363193	143.0036639	120.2144543	177.1701047
5PT1	36.71081656	75.44719852	66.25094553	29.63879222	64.58201576	47.81501828	47.45997648	79.78954801	46.5434988
5PT2	34.91229803	51.45480782	40.48918997	40.64521074	48.54728022	29.48324829	39.37156802	41.32745903	36.84655607
5PT3	6.362326881	6.843874242	6.95001865	7.670973899	7.403933856	5.810751517	6.768068912	7.080461881	5.88573823
5PT4	5.715848462	4.524086679	5.762450508	6.661639338	5.528296585	7.892633496	6.860953629	6.891733957	6.450293105
7k-LTP	0.677293613	0	0.128109227	0.125407044	0.260704565	0.616188017	0	0	2.085834989
9612	28.38599897	10.73579768	31.74777069	49.06127652	22.23497316	54.64677282	20.83893047	27.73216893	24.1484531
AADC1A	92.84930005	116.1248996	99.09489985	5.558495438	4.398496708	8.634018051	6.290387033	28.4449008	17.40926637
AADC1B	67.71005423	104.1162536	72.70870566	5.659618469	3.23926165	5.174503863	5.438103703	24.23812306	11.84118653
AADC2	135.3412864	79.73915969	115.6482676	101.1644631	157.5203835	99.50272856	148.3983814	139.0428733	156.4608437
AAP1	35.54440101	60.15013134	50.95742284	42.86843201	46.03254619	51.21949459	30.80840055	42.14620345	38.66791566
AAP2	338.5977185	710.706843	549.5768293	94.97992031	93.19988878	114.9245298	79.72345877	211.418703	194.0739492
AAP3	0.874649116	3.430940336	1.27839049	0.515292916	1.377289845	0.470208852	1.359203044	1.833320637	1.033065682
AAT	0	0	0	0	0	0	0	0	0
AAT2	2.568867931	6.962127755	4.24056529	1.902596614	4.854164692	2.337104034	2.572632419	3.982506929	2.876815773
ABC1K1	3.678565646	3.052440142	3.701991642	3.034475727	3.698734691	2.68163826	3.24707688	3.467304584	3.358679916
ABC1K3	11.05966276	12.68594991	11.91158194	12.081474	11.1625678	10.01012535	9.881981243	10.63682748	6.430032008
ABI3	0.078524524	0.654551093	0.482716455	0.327139347	0.491168305	0.214320067	0.428789177	1.161463622	0.529000818
ACA10	66.22647075	62.64344119	71.86611966	63.25112447	58.74008648	72.89801752	64.88195873	62.1475241	66.04418443
ACI112	24.20445963	20.76125833	20.80168899	19.23334564	22.6256219	14.94049347	18.63317892	20.19869761	19.20028591
ACI13	10.25784568	8.86033551	14.77680299	14.46511881	10.59024219	13.4732378	14.77356655	13.65345522	11.04889657
ACI14	14.22866276	13.43909274	16.74331893	19.60748221	19.68659514	15.98731066	15.19374507	14.94710276	15.58670425
ACI19	32.41836549	25.27013219	27.96412584	46.39336495	51.5367079	40.7832368	31.18130302	40.29437752	30.91353901
ACI29	376.8512127	212.8283658	248.5119153	379.1678328	286.1625629	467.1982018	350.079701	340.9452085	377.3538653
ACI36	269.9563915	161.6142071	223.7733953	277.8821355	193.252987	283.2015477	233.1309921	240.8045412	251.5330246
ACI39	109.6074207	63.43685582	81.37601365	100.1667972	86.36762534	114.0902963	104.8446632	104.1956496	103.4471762
ACO1	1.928570155	0.715617687	7.295731904	0.241278529	0.200634389	6.496666193	6.434987786	3.537363556	3.260619068
ACO3	9.530280507	10.32580403	6.868932369	5.265391565	14.38517892	6.572765225	10.61983205	7.589815812	4.474993024
ACO4	2.032666108	3.986716508	4.77494651	4.734933786	2.523922454	3.579248655	4.296591845	5.876151085	3.407619553
ACO4-like	189.8630569	176.2474475	152.7398954	145.6555484	242.828347	149.5262461	216.2673623	200.6211347	142.9255527
ACS1A	11.1826686	38.99932148	44.81553645	11.97049627	13.65315981	6.00888024	12.44507164	23.13830332	13.45266902
ACS2	1.947393321	0.828752698	0.62549486	1.020502367	0.353581448	1.303703049	1.046814472	0.511504155	1.273014343
ACS3	19.39682446	20.57933758	20.52936729	4.856988134	2.408466427	3.021418944	0.914168478	9.380478328	4.771070166
ACS4	0	0	0	0	0	0	0	0.036114227	0
ACS5	0.038320057	0	0	0.035476527	0.03687549	0.069725623	0.072782471	0.100022746	0.110636998
ACS6	9.48886691	9.958378922	13.80217174	9.041612034	10.78651814	8.329874475	9.222038914	12.16662612	8.437782404
ACS7B	0.026314393	0.180638664	0.124433351	0	0	0	0	0	0
ACS8	0	0	0.110027524	0.287217961	0	0.070562331	0.07365586	0.202446037	0.037321547
ACT	688.978911	725.6086823	598.1243531	742.8380526	804.6310592	821.4077042	791.5363623	767.0201898	689.454407
ADC	304.54338	241.2288441	264.5932738	244.2699007	177.8668998	291.8854907	237.8163586	219.7804793	305.2669325
ADH	18.4666177	36.33220208	30.45404693	24.57594165	26.04485157	23.04826127	21.64736962	25.3559645	20.77121839
ADH2	16.11990975	37.97915652	28.96607432	25.70613547	23.07444396	30.65103613	38.50093286	25.80666035	37.89223029
ADH3	174.245902	120.6700909	169.746411	213.6183589	159.4853315	237.92349	187.297484	150.3102633	185.6255914
AFRR	295.852889	284.2878285	323.4679473	414.9566984	307.4727075	401.6547824	341.9902542	322.2766988	329.616693
AGAL	8.59512427	4.993430742	7.358283319	38.99466547	8.192711369	9.709732469	11.25727695	10.45545886	7.409424869
AGO10	13.18632786	6.964558704	10.33466927	10.75721694	5.013032184	12.45948799	11.76892549	12.60608509	11.10413958
AGO1B	102.2807454	131.7840016	123.4496692	104.9706739	119.944598	123.0127653	106.2996501	108.6430351	105.1983314
AGO2A	51.45063957	89.37535362	77.54411283	26.55711716	25.04700528	27.75102889	22.32421533	27.61069384	26.02729283
AGO3	0.141637967	0.119056252	0.267906415	0.599441184	0.194712264	0.147267834	0.211370797	0.228863414	0.214203873
AGO4A	187.5914022	208.4590305	178.1541011	203.5179128	205.7786018	203.7525813	192.6229401	180.9895569	176.8495381
AGO4B	28.72330393	19.36667941	22.85174	28.12194976	33.45850561	28.72032592	29.26424069	31.79861014	26.33447047
AGO4D	0.081275234	0.019925882	0.057649152	0	0	0	0	0.017678671	0
AGO5	4.712834727	4.436829662	6.27960588	6.457417711	11.16660413	9.032631674	4.754099309	6.305610886	7.39807527
AGO6	9.889627276	9.07337413	8.438531529	8.423308497	9.960932136	8.557510627	8.849198229	8.891432584	8.756302187
AGO7	1.95885421	1.569827999	1.633452281	2.61299705	2.128237684	2.088728207	2.200303086	2.254112846	1.946002476
AGP-1	364.3773455	331.027959	354.8517082	496.4235797	201.3794153	455.6575907	345.8966366	427.3677613	344.5759486
AGP-S2	31.95810907	21.58984714	25.84503102	32.32178896	30.42533581	27.80846977	30.53835476	26.74281929	31.41243265
AI	22.0802705	22.14331232	24.27896822	29.98324871	27.91980325	25.6571843	21.91795702	20.32534614	16.80156642
AIM1	14.24983098	21.61644373	19.33062313	0.618394971	1.842637284	0.121539447	0.296025029	4.184416127	2.699934784
AML1	42.62173382	42.04883055	46.9138286	48.05960801	48.75252276	43.78919709	47.12358344	47.14543123	46.87655071
