id	cl
1	LOC101268603	6
2	LOC101246812	6
3	LOC101266899	6
4	LOC101262264	6
5	LOC100134911	6
6	LOC101267746	6
7	LOC101246484	6
8	loxD	6
9	LOC101264847	6
10	AADC1A	6
11	AADC1B	6
12	LOC101248759	6
13	THT1-4	6
14	LOC101254410	6
15	LOC101055602	6
16	LOC101246210	6
17	LOC101244514	6
18	LOC101266471	6
19	LOC101261885	6
20	LOC101244852	6
21	LOC101267186	6
22	SlWRKY33A	6
23	SlMMP2	6
24	LOC101258576	6
25	SRG1	6
26	LOC101259996	6
27	MPK3	6
28	aos	6
29	LOC101245319	6
30	GRAS2	6
31	LOC101261141	6
32	NACMTF3	6
33	LOC101248897	6
34	LOC101247288	6
35	GRAS1	6
36	LOC104648634	6
37	LOC101264199	6
38	LOC101258865	3
39	LOC101263761	6
40	LOC101247936	3
41	LOC101267091	6
42	LOC101245711	6
43	LOC101246112	6
44	LOC101266314	6
45	LOC101251930	6
46	LOC101252440	6
47	LOC101257219	6
48	CBF1	6
49	LOC101267151	6
50	LOC101266245	6
51	LOC101250935	6
52	LOC104648613	6
53	LOC101257026	6
54	LOC543684	6
55	LOC101250166	6
56	CIPK11	6
57	LOC101254012	6
58	hsc70	6
59	LOC104649390	6
60	LOC101248653	6
61	LOC101261228	6
62	LOC101254676	6
63	LOC101261020	6
64	LOC109119806	6
65	LOC101262296	6
66	LOC101255876	4
67	LOC101261140	6
68	LOC101246637	6
69	LOC543701	6
70	LOC101256695	6
71	LOC101267950	6
72	LOC101267711	6
73	LOC101258155	6
74	LOC104645408	6
75	LOC101256373	6
76	LOC101265594	6
77	LOC101254733	6
78	LOC101262488	6
79	LOC101267739	6
80	LOC101258501	6
81	LOC101263186	6
82	LOC101244142	6
83	LOC101249060	6
84	AO	6
85	LOC101246688	6
86	LOC101251527	3
87	LOC104647562	6
88	LOC101251733	6
89	SRG2	6
90	LOC101255362	6
91	LOC100301944	6
92	NAC1	6
93	LOC101247773	6
94	LOC101268787	6
95	LOC101259548	6
96	GRAS4	6
97	WRKY3	6
98	LOC101260740	6
99	LOC101253074	6
100	LOC101266189	6
101	LOC101252907	6
102	MYC2	6
103	LOC101253243	6
104	LOC101260171	6
105	LOC101244925	6
106	LOC101243886	6
107	LOC101251309	6
108	ACS3	6
109	LOC101245633	6
110	LOC101267295	6
111	LOC101268143	6
112	LOC101265946	6
113	LOC101244095	6
114	LOC101247683	6
115	LOC101254948	6
116	LOC101261019	6
117	LOC101254097	6
118	LOC101245202	6
