sampleid	Cultivar	Time	Status	Property
A57T1RS1	A57	T1	Healthy	Susceptible
A57T1RS2	A57	T1	Healthy	Susceptible
A57T1RS3	A57	T1	Healthy	Susceptible
A57T2CRS1	A57	T2C	Healthy	Susceptible
A57T2CRS2	A57	T2C	Healthy	Susceptible
A57T2CRS3	A57	T2C	Healthy	Susceptible
A57T2RS1	A57	T2	Diseased	Susceptible
A57T2RS2	A57	T2	Diseased	Susceptible
A57T2RS3	A57	T2	Diseased	Susceptible
A57T3CRS1	A57	T3C	Healthy	Susceptible
A57T3CRS2	A57	T3C	Healthy	Susceptible
A57T3CRS3	A57	T3C	Healthy	Susceptible
A57T3RS1	A57	T3	Diseased	Susceptible
A57T3RS2	A57	T3	Diseased	Susceptible
A57T3RS3	A57	T3	Diseased	Susceptible
HG70T1RS1	HG70	T1	Healthy	Susceptible
HG70T1RS2	HG70	T1	Healthy	Susceptible
HG70T1RS3	HG70	T1	Healthy	Susceptible
HG70T2CRS1	HG70	T2C	Healthy	Susceptible
HG70T2CRS2	HG70	T2C	Healthy	Susceptible
HG70T2CRS3	HG70	T2C	Healthy	Susceptible
HG70T2RS1	HG70	T2	Diseased	Susceptible
HG70T2RS2	HG70	T2	Diseased	Susceptible
HG70T2RS3	HG70	T2	Diseased	Susceptible
HG70T3CRS1	HG70	T3C	Healthy	Susceptible
HG70T3CRS2	HG70	T3C	Healthy	Susceptible
HG70T3CRS3	HG70	T3C	Healthy	Susceptible
HG70T3RS1	HG70	T3	Diseased	Susceptible
HG70T3RS2	HG70	T3	Diseased	Susceptible
HG70T3RS3	HG70	T3	Diseased	Susceptible
HF12T1RS1	HF12	T1	Healthy	Resistant
HF12T1RS2	HF12	T1	Healthy	Resistant
HF12T1RS3	HF12	T1	Healthy	Resistant
HF12T2CRS1	HF12	T2C	Healthy	Resistant
HF12T2CRS2	HF12	T2C	Healthy	Resistant
HF12T2CRS3	HF12	T2C	Healthy	Resistant
HF12T2RS1	HF12	T2	Healthy	Resistant
HF12T2RS2	HF12	T2	Healthy	Resistant
HF12T2RS3	HF12	T2	Healthy	Resistant
HF12T3CRS1	HF12	T3C	Healthy	Resistant
HF12T3CRS2	HF12	T3C	Healthy	Resistant
HF12T3CRS3	HF12	T3C	Healthy	Resistant
HF12T3RS1	HF12	T3	Healthy	Resistant
HF12T3RS2	HF12	T3	Healthy	Resistant
HF12T3RS3	HF12	T3	Healthy	Resistant
HG64T3CRS1	HG64	T3C	Healthy	Resistant
HG64T3CRS2	HG64	T3C	Healthy	Resistant
HG64T3CRS3	HG64	T3C	Healthy	Resistant
HG64T1RS1	HG64	T1	Healthy	Resistant
HG64T1RS2	HG64	T1	Healthy	Resistant
HG64T1RS3	HG64	T1	Healthy	Resistant
HG64T2CRS1	HG64	T2C	Healthy	Resistant
HG64T2CRS2	HG64	T2C	Healthy	Resistant
HG64T2CRS3	HG64	T2C	Healthy	Resistant
HG64T2RS1	HG64	T2	Healthy	Resistant
HG64T2RS2	HG64	T2	Healthy	Resistant
HG64T2RS3	HG64	T2	Healthy	Resistant
HG64T3RS1	HG64	T3	Healthy	Resistant
HG64T3RS2	HG64	T3	Healthy	Resistant
HG64T3RS3	HG64	T3	Healthy	Resistant
