Pathway	A57RS1T1	A57RS1T2C	A57RS1T2	A57RS2T1	A57RS2T2C	A57RS2T2	A57RS3T1	A57RS3T2C	A57RS3T2	HF12RS1T1	HF12RS1T2C	HF12RS1T2	HF12RS2T1	HF12RS2T2C	HF12RS2T2	HF12RS3T1	HF12RS3T2C	HF12RS3T2	HG64RS1T1	HG64RS1T2C	HG64RS1T2	HG64RS2T1	HG64RS2T2C	HG64RS2T2	HG64RS3T1	HG64RS3T2C	HG64RS3T2	HG70RS1T1	HG70RS1T2C	HG70RS1T2	HG70RS2T1	HG70RS2T2C	HG70RS2T2	HG70RS3T1	HG70RS3T2C	HG70RS3T2
UNMAPPED	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
UNINTEGRATED	61864.1753417827	69137.0577804361	250535.7254187996	71644.6535556825	74805.3713714850	224782.9702288381	49126.7427147084	57425.4286640124	201328.1593959617	69373.7938552717	42499.4100984703	247564.0164947527	52023.7818250842	41051.4093470309	250449.2343371038	51950.1328922389	42342.2400796281	363955.4080825085	69203.6103287866	48527.5077898690	174372.5086900609	51889.3021775142	50471.5571866091	194527.2377692905	119234.9702255548	57903.7555866629	106999.4318250731	54594.1891712281	58276.6895047455	135114.6434266873	35017.5577544096	75041.0997531074	159155.8679231252	41879.9006040505	53849.3824792857	193736.7187295627
ko00010: Glycolysis / Gluconeogenesis	1615.7452010880	1723.2886242167	2972.3842123610	1882.2256306230	1879.0021123413	3075.4121292912	1319.3479069947	1481.8588268849	2566.6611231346	1464.6996479236	1171.7980692444	3002.6281814748	1380.1057769907	1153.7140303540	3000.1492301939	1373.4943938972	1131.6934743076	4050.6237984995	1592.9815539094	1309.8287105283	2323.0034005404	1302.2883360540	1352.9434491968	2746.9199782380	2904.3926109287	1456.4373546399	1659.0249258797	1409.0874314280	1569.1003784969	1930.0789899475	965.0567969235	1552.6587149257	2225.0410500378	1145.2607417746	1407.2617370122	2488.6664955166
ko00020: Citrate cycle (TCA cycle)	2822.9681627966	2909.9800317039	4026.3037474695	3250.1962748594	3174.9481572480	4457.1483020130	2307.1354291911	2573.1172970509	3622.7073742709	2375.3160986845	2106.6177417922	4159.0780150935	2390.7584079149	2056.5261393327	4147.0556744461	2381.8810571356	2003.4908653057	5338.6647495807	2628.7127566340	2291.3725826475	3358.6417400682	2211.6374764527	2332.3165354860	3955.7956243217	4498.2520614644	2502.4718265702	2568.3017064771	2437.4247326795	2714.4043788163	2834.5137432549	1678.9674543079	2528.1229322834	3284.2007105204	1985.6700140308	2423.2136548940	3547.4035572958
ko00030: Pentose phosphate pathway	1394.6740636024	1519.5673101284	2852.0377247607	1593.6713223580	1618.6792351689	2910.5232702800	1142.1272672913	1245.3291898896	2420.7499537879	1387.9578982114	989.5627644819	2818.6711688368	1154.3764853967	985.3161140826	2837.1144126778	1183.3956643764	974.6254093624	3946.0997024532	1401.3847117971	1080.3422502316	2135.0470514106	1114.5192845491	1130.7532639513	2557.1197959583	2503.2404506883	1295.7753798484	1475.5381275982	1202.7271786518	1334.3726614148	1758.9947875827	810.5217020616	1333.6734520535	2056.0484446935	973.6188720665	1196.0673378010	2355.8519917971
ko00040: Pentose and glucuronate interconversions	824.1243295518	885.2110247093	1752.9712512825	975.8974752388	967.3180325631	1837.5291812379	660.7835194518	774.7572248193	1503.7655817964	798.4320376026	579.8170565781	1737.8669759705	679.8904095686	575.1776950155	1753.2124493481	677.5918220841	544.8595428575	2446.7248720645	795.1412328580	627.5018932262	1298.0452013514	631.1646183741	655.6344085712	1553.7047412044	1521.3027015096	741.9997020662	899.3548660613	697.1818703416	795.3682642256	1104.6004209233	474.2461555485	820.6809172734	1250.0548365988	567.7781726295	699.5240941647	1471.6195464380
ko00051: Fructose and mannose metabolism	612.9121758018	646.2597140405	1456.1777165644	695.8916897046	696.2464021850	1408.9842849572	517.8962310526	548.9653681007	1236.0366928164	618.8980201468	460.4150802005	1442.9100423237	539.2305210858	441.1422706515	1458.8345349349	531.2183972330	429.5744440877	2027.4090456928	626.7048817497	475.7682612384	1086.7607934976	504.8790260334	499.3938567730	1257.6503412103	1126.4267107009	557.9188672714	739.8366581336	526.5272326910	602.0098454459	870.9095079680	375.1917135216	617.0404148573	1012.6567538444	434.9079340839	540.6129703588	1181.5018485694
ko00052: Galactose metabolism	342.8028212036	393.9888108756	1026.3159983849	416.6305487169	424.1577416917	1001.8856169642	306.7212882408	351.6789217681	861.3270907913	333.7527754574	241.3838397821	1010.8024504893	300.3394009137	237.3250816036	1023.5223004942	283.1087063504	233.4403514638	1452.6012725968	334.4956571996	277.5813419827	719.6415506638	273.8167792262	293.0330857803	825.7645847087	706.7106098568	323.6675707215	465.8832740146	310.8632505313	359.5354221949	610.7126425567	209.7772723629	426.9226694408	689.2975066367	264.1316660570	342.8999462901	822.9074566027
ko00053: Ascorbate and aldarate metabolism	591.0485964333	680.5330074121	1936.0582747785	784.6411495840	715.6033137741	1845.4610494975	470.7599722599	582.0493282600	1619.3381579873	591.9013896381	402.3948397356	1940.8342739748	540.0207064989	418.9205921879	1944.7430486832	501.4819937069	378.2938082245	2800.4199352061	623.8679597547	492.6160309776	1402.5424818053	499.4587762131	514.0982500494	1570.9998624117	1107.5441676956	539.0636478703	897.4654026956	538.0902222864	596.5020656593	1088.2727907137	365.4637389061	681.6545081194	1284.7749154971	432.5123477888	523.3976898610	1564.7665386783
ko00061: Fatty acid biosynthesis	2490.2236447475	2762.1927058094	5725.4676619628	2897.1881344160	2956.3494410585	5587.1865967679	2080.8413057753	2253.3044657446	4740.9653052520	2386.8331390343	1802.7536510106	5687.1823158227	2047.9043433786	1737.9404437920	5703.1827340170	2036.4422560466	1772.4537597779	7961.8455121443	2435.8363510301	1995.4804115514	4261.9108522857	2003.8548923404	2067.4301453902	4944.9221385123	4072.6406209876	2306.8135222801	2963.1838074561	2170.9369389100	2401.2759464165	3488.3536773572	1403.3834316026	2506.0989007986	4070.0391767090	1719.3737582907	2083.6771033893	4721.9831739343
